Source	Target	Weigth
Armas Järnefelt	Bertha Oorander	2
Kaarlo Niininen	Kustaa Emil Aaltonen	2
Kaarlo Niininen	Wilho Aaltonen	2
Kaarlo Niininen	Wilhelm Jaakkola	2
Kaarlo Niininen	Kustaa Wilhelm Palmu	2
Kaarlo Niininen	Karl Saaristo	2
Kaarlo Niininen	Otto Sallinen	2
Kaarlo Niininen	Niklas Wirtasen	2
Kaarlo Niininen	Matti Veijalainen	2
Kaarlo Niininen	Wäinö Heikki Hakkarainen	2
Kaarlo Niininen	Wäinö Sigfrid Forsströmin	2
Kaarlo Niininen	Richard Lindroosin	2
Kaarlo Niininen	Tuomas Piispa Ursin	2
Kaarlo Niininen	Kalle Jäntti	2
Kaarlo Niininen	Kalle Kantola	2
Ida Oksanen	Ida Saarinen	2
Ida Oksanen	Miina Lindberg	2
Ida Oksanen	Tilda Örnberg	2
Hjalmar Nieminen	Johan Nurminen	2
Hjalmar Nieminen	Johan Urho Rantala	2
Hjalmar Nieminen	Wäinö Sigfrid Forsströmin	2
Hjalmar Nieminen	Juho Anders Ahlgrenin	2
Hjalmar Nieminen	Johan Kauppinen	2
Hjalmar Nieminen	Jaakko Kallio	2
Hjalmar Nieminen	Kalle Kantola	2
Hjalmar Nieminen	Juho Myntti	2
Hjalmar Nieminen	Kaarlo Niininen	2
Hjalmar Nieminen	Kaarle Kustaa Grönbergin	2
Hjalmar Nieminen	Karl Saaristo	2
Hjalmar Nieminen	Isak Lehtinen	2
Hjalmar Nieminen	Otto Sallinen	2
Hjalmar Nieminen	Johan Alfred Mäkipää	2
Hjalmar Nieminen	Richard Lindroosin	2
Hjalmar Nieminen	Kalle Jäntti	2
Hjalmar Nieminen	Wilho Aaltonen	2
Hjalmar Nieminen	Kustaa Wilhelm Palmu	2
Hjalmar Nieminen	Niklas Wirtasen	2
Hjalmar Nieminen	Johan Arthur Taimi	2
Hjalmar Nieminen	Matti Veijalainen	2
Hjalmar Nieminen	Juho Kustaa Rantanen	2
Hjalmar Nieminen	Kustaa Emil Aaltonen	2
Hjalmar Nieminen	Jooseppi Rajala	2
Hjalmar Nieminen	Wäinö Heikki Hakkarainen	2
Hjalmar Nieminen	Tuomas Piispa Ursin	2
Hjalmar Nieminen	Wilhelm Jaakkola	2
Hjalmar Nieminen	Juho Nestor Nurmi	2
Hjalmar Nieminen	Juho Taawi Tuoda	2
Hjalmar Nieminen	Juho Oskar Jokinen	2
Tyyne Vuorijuuri	Vilho Reima	2
Gustava Vilhelmina	Maria Helena Sohlmanille	2
Gustava Vilhelmina	Klara Erika Vikström	2
Gustava Vilhelmina	Johanna Constance Nemlanderille	2
Gustava Vilhelmina	Sofia Vilhelmina Lundénille	2
Ester Sjöholm	Sakeus Juuri-Oja	2
Ester Sjöholm	Matti Helenius-Seppälä	2
Juho Myntti	Tuomas Piispa Ursin	2
Juho Myntti	Kustaa Emil Aaltonen	2
Juho Myntti	Wilhelm Jaakkola	2
Juho Myntti	Kustaa Wilhelm Palmu	2
Juho Myntti	Juho Oskar Jokinen	2
Juho Myntti	Niklas Wirtasen	2
Juho Myntti	Wilho Aaltonen	2
Juho Myntti	Matti Veijalainen	2
Juho Myntti	Wäinö Sigfrid Forsströmin	2
Juho Myntti	Kaarle Kustaa Grönbergin	2
Juho Myntti	Wäinö Heikki Hakkarainen	2
Juho Myntti	Kalle Kantola	2
Juho Myntti	Kaarlo Niininen	2
Juho Myntti	Juho Nestor Nurmi	2
Juho Myntti	Karl Saaristo	2
Juho Myntti	Otto Sallinen	2
Juho Myntti	Juho Taawi Tuoda	2
Juho Myntti	Richard Lindroosin	2
Juho Myntti	Kalle Jäntti	2
Laine Häme	Maria Laine	2
Kalle Lehtinen	Reino Sipi	2
Juho Ahonen	Kustaa Emil Murto	2
A. Timonen	O. Oksa	2
