Source	Target	Weigth
Herman Asikainen	Wäinö Heikki Hakkarainen	10
Herman Asikainen	Isak Kalliomäki	10
Herman Asikainen	Kustaa Wilhelm Palmu	10
Herman Asikainen	Johan Kauppinen	10
Hilma Hjort	Lyydia Joki	10
Hilja Liinamaa-Pärssinen	Matti Autio	10
B. Boxström	Matti Tarkkanen	10
Hanna Karhinen	Hilma Arina	10
Hanna Karhinen	Jenny Nuotio	10
Voitto Eloranta	Väinö Jokinen	10
Voitto Eloranta	Väinö Toikka	10
Kotkaniemi Kurikka	Nurmio Kortesjärvi	10
Anni Huotari	Hanna Karhinen	10
Heikki Ritavuori	LUDVIG HJELT	10
Emil Anshelm Mäkelä	Wilhelm Jaakkola	10
Emil Anshelm Mäkelä	Juho Oskar Jokinen	10
Emil Anshelm Mäkelä	Kaarlo Niininen	10
Emil Anshelm Mäkelä	Isak Lehtinen	10
Jukka Pohjola	Yrjö Sirola	10
Justiina Huttunen	Tiihonen Minna	10
Hanna Mali	Joel Manninen	10
Hanna Mali	Tuomas Holma	10
Hugo Relander	Lennart Gripenberg	10
Hugo Relander	Onni Hallsten	10
Niilo Mantere	Wäinö Kataja	10
Matti Pesonen	Oskar Vuorisalmi	10
Enrico Ferri	Yrjö Sirola	10
Enrico Ferri	Johan Kock	10
Kaarlo Terhi	Mikko Uotinen	10
Juho Erkkilä	Juho Kustaa Koivisto	10
Oskar Antikainen	Richard Lindroosin	10
Ida Oksanen	Tilda Öhrnberg	10
Alli Nissinen	Mathilda von Troil	10
Alli Nissinen	Hilma Räsänen	10
Alli Nissinen	Olga Oinola	10
Alli Nissinen	Kaarlo Brofeldt	10
Alli Nissinen	Anna Huotari	10
Alli Nissinen	Pekka Tikkanen	10
Jalmari Hahl	Robert Kajanus	10
Fredrik Thuring	William Thuring	10
Anni Lilja	Niilo Mantere	10
Juho Ferdinand Roine	Kalle Pekka Pesonen	10
Anni Ahlberg	Kosti Elo	10
PaaMo Cajander	Walter Runeberg	10
Arnold Napoleon Eklund	Frans Oskar Nurmi	10
Arnold Napoleon Eklund	Wilhelm Jaakkola	10
Arnold Napoleon Eklund	Edward Pohjatähti	10
Arnold Napoleon Eklund	Richard Lindroosin	10
Arnold Napoleon Eklund	Oskar Antikainen	10
Arnold Napoleon Eklund	Kasper Renström	10
Johannes Gummerus	Walter Stenbäck	10
August Ramsay	Hjalmar Ekholm	11
Juho Niskala	Nestor Rautell	11
Olga Österberg	Tekla Hultin	11
Aapeli Hurme	Johan Fredrik Hiironen	11
Aapeli Hurme	Wilho Toikka	11
Aapeli Hurme	Aleksander Krusell	11
Hemmi Hiltunen	Kasper Peltola	11
Kaarlo Rönneberg	Paavo Nyman	11
