Source	tags	party	district
Axel Parviainen	Helsingin Sanomat		
Wäinö Turunen	Työmies		
Gösta Schatelowitz	Helsingin Sanomat		
Hilda Tihlä	Työmies		
Miina Sillanpää	Uusi Suometar;Työmies	SDP	Uudenmaan läänin
Gustaf Fröding	Työmies		
Oskar Antikainen	Uusi Suometar		
Juho Oskar Viljanen	Helsingin Sanomat		
Kaupunginlääkäri Ernfr	Helsingin Sanomat		
Walter Scott	Uusi Suometar;Työmies		
Olga Salmi	Työmies		
Vilho Selinheimo	Työmies		
Pehr Gadd	Helsingin Sanomat		
Rudolf Jack	Helsingin Sanomat		
Gustaf Oskar Rantala	Työmies		
Amalia Karlsson	Helsingin Sanomat		
Aukusti Simelius	Helsingin Sanomat		
Katri Malinen	Työmies		
Lucrezia Borg	Helsingin Sanomat;Työmies		
Hanna Saikku	Helsingin Sanomat		
Pekka Pennanen	Helsingin Sanomat	Nuor.	Kuopion läänin itäinen
Aino Niemelä	Helsingin Sanomat		
Karl Niininen	Työmies		
Neiti H.	Helsingin Sanomat		
Valborg Florström	Helsingin Sanomat		
Vihtori Kosonen	Työmies		
Sakari Soinne	Helsingin Sanomat		
Samuli Paulaharju	Helsingin Sanomat		
Johan Myntti	Työmies		
Maria Vaittinen	Uusi Suometar		
Lude Latonr	Helsingin Sanomat		
Aatto Sirenin	Työmies		
Aina Niska	Uusi Suometar;Työmies		
Karolina Eskelin	Helsingin Sanomat		
Fredrik Thuring	Helsingin Sanomat		
Hanna Laki	Työmies		
Axel Jägerroos	Uusi Suometar		
Lyydia Joki	Työmies		
Hämeenlinna Johm	Uusi Suometar		
Erika Lovisa Forsgrenille	Helsingin Sanomat;Työmies		
Juho Vesa	Työmies		
Gösta Enckell	Helsingin Sanomat		
Aarni Kouta	Helsingin Sanomat		
Otto Hyyry	Uusi Suometar;Helsingin Sanomat		
Jarl Hagelstam	Helsingin Sanomat		
William Thuring	Helsingin Sanomat		
Paawo Paloheimo	Uusi Suometar		
Ida Saarinen	Työmies		
Wilhelm Jaakkola	Uusi Suometar;Työmies		
Kaapo Murros	Työmies		
Johan Arthur Taimi	Uusi Suometar;Työmies		
Fanni Sola	Työmies		
Juho Oskar Jokinen	Työmies		
ANTTI MIKKOLA	Helsingin Sanomat	Nuor.	Turun läänin eteläinen
Henrit Filppula	Uusi Suometar		
Wilho Sipilä	Uusi Suometar	Suom.	Turun läänin eteläinen
Mami Hailea	Uusi Suometar		
Edit Cajander	Helsingin Sanomat		
Matti Ahola	Helsingin Sanomat		
Heikki Klemetti	Uusi Suometar;Työmies		
Hilda Pynnänen	Työmies		
A. Timonen	Työmies		
Kaarlo Bergbomin	Uusi Suometar;Työmies		
O. Oksa	Työmies		
Juho Rannikko	Uusi Suometar	Suom.	Turun läänin eteläinen
Bertha Boos	Uusi Suometar		
Mauri Hari	Uusi Suometar		
Evelene Lola	Helsingin Sanomat		
Laine L	Työmies		
Jooseppi Rajala	Uusi Suometar;Työmies		
Fiina Pietikäinen	Työmies		
Miina Lindberg	Työmies		
Wilhelm Rothen	Helsingin Sanomat		
Hugo Lilius	Helsingin Sanomat		
Hulda Wilhelmina Lindroos	Uusi Suometar		
Jaakko Kallio	Uusi Suometar;Työmies		
Carl Anton	Helsingin Sanomat		
Kasper Renström	Helsingin Sanomat;Työmies		
Juho Virtanen	Työmies		
Hilda Käkikoski	Uusi Suometar;Helsingin Sanomat;Työmies	Suom.	Uudenmaan läänin
Emil Misander	Uusi Suometar		
O. Mantere	Helsingin Sanomat		
Matti Seppälä	Uusi Suometar;Työmies		
Ants Raudjalg	Helsingin Sanomat		
Friedrich Engels	Työmies		
Ida Aalle	Työmies		
Matti Autio	Työmies		
Heikki Meriläinen	Helsingin Sanomat		
Mauri Kartea	Työmies		
Alfred Casella	Uusi Suometar;Helsingin Sanomat		
Aksel Frtsk	Työmies		
Alarik Emil Sikanen	Työmies		
Fernanda Soretta	Helsingin Sanomat		
Ida Takanen	Työmies		
Birger Halia	Helsingin Sanomat		
August Ramsay	Uusi Suometar;Helsingin Sanomat		
Jalo Erland Anttila	Uusi Suometar		
Georg Estlander	Helsingin Sanomat		
Elin Mali	Helsingin Sanomat		
EINO KALIMA	Uusi Suometar		
Mimmi Lähdeoja	Uusi Suometar		
George Sand	Uusi Suometar		
Yrjö Jahnsson	Työmies		
O. Anttila	Helsingin Sanomat		
Juho Nestor Nurmi	Uusi Suometar;Helsingin Sanomat;Työmies		
Otto Tiuppa	Työmies		
Otto Keto	Uusi Suometar		
Axel Holmström	Helsingin Sanomat		
Abraham Lincolnista	Helsingin Sanomat		
Einar Böök	Työmies		
Ludvig Hjelt	Työmies		
Julia Alina Sjöstedt	Uusi Suometar		
Ilmari Krohn	Uusi Suometar;Helsingin Sanomat		
Vilho Selifheimo	Uusi Suometar		
Robert Blatchford	Työmies		
Juho Mäntylä	Työmies		
Maria Laine	Uusi Suometar;Työmies		
Hilma Tähtinen	Työmies		
Viktor Kujala	Uusi Suometar		
Paavo Cajander	Uusi Suometar		
Asianajaja Ernst	Helsingin Sanomat		
Johanna Constance	Helsingin Sanomat		
Karl Ekman	Helsingin Sanomat		
Lydia Joki	Helsingin Sanomat;Työmies		
Aleksander Heikkinen	Työmies		
Adi Tikkanen	Helsingin Sanomat		
Karl Heli	Työmies		
Karl Saaristo	Helsingin Sanomat;Työmies		
Heikki Kiiskinen	Uusi Suometar;Helsingin Sanomat	SML	Oulun läänin eteläinen
Jalmari Joutsi	Työmies		
Emil Strauss	Työmies		
Eero Kilpi	Uusi Suometar;Helsingin Sanomat		
Jalmari Häkkinen	Helsingin Sanomat		
Juho Ahonen	Työmies		
Akseli Oinola	Työmies		
Vilho Mantere	Työmies		
Robert Turunen	Työmies		
John Lamas	Helsingin Sanomat		
Mikael Soininen	Uusi Suometar	Suom.	Mikkelin läänin
Hilda Tammeio	Työmies		
Nikolai Gerung	Työmies		
Isak Lehtinen	Uusi Suometar;Työmies		
Väinö Meriläinen	Helsingin Sanomat		
Leo Ernrooth	Helsingin Sanomat		
Eero Hyvärinen	Uusi Suometar;Helsingin Sanomat		
Frans Stockmann	Helsingin Sanomat		
Hanna Keto	Helsingin Sanomat		
ARTUR ALLI	Helsingin Sanomat		
Juho Laitinen	Helsingin Sanomat		
Friz Ernst	Työmies		
Ester Mathilda Munsterhjelm	Uusi Suometar		
Jaana Rönty	Uusi Suometar;Helsingin Sanomat		
Harry Althoff	Helsingin Sanomat		
Alvar Renqvist	Uusi Suometar;Helsingin Sanomat		
Fritz Wiik	Helsingin Sanomat		
Vesa Aug	Työmies		
Jonas Castren	Uusi Suometar;Helsingin Sanomat	Nuor.	Viipurin läänin läntinen
Ida Henriksson	Uusi Suometar		
Aukusti Hiltula	Uusi Suometar;Helsingin Sanomat	Suom.	Oulun läänin pohjoinen
O. Oksaaen	Työmies		
Johan Wilhelm Dahl	Uusi Suometar		
J. Vellman	Helsingin Sanomat		
Oskar Hakulin	Helsingin Sanomat		
Minna Canth	Uusi Suometar		
HEIKKI IMPIVAARA	Uusi Suometar		
Einar Höök	Työmies		
Jussi Snellman	Uusi Suometar;Helsingin Sanomat		
Emil Gustafsson	Helsingin Sanomat		
Arvid Grönberg	Uusi Suometar;Helsingin Sanomat		
Ida Rantanen	Työmies		
Emmi Huttunen	Työmies		
Otto Tiupan	Työmies		
Juhani Leppälä	Helsingin Sanomat	SML	Viipurin läänin itäinen
Herman Bahr	Työmies		
Hameenlinna Joh.	Uusi Suometar		
Hilja Liimatainen	Työmies		
Arthur Ferdinand Ikäheimonen	Uusi Suometar		
Johan Järwisen	Helsingin Sanomat		
Kusti Korpela	Työmies		
Maila Mikkola	Uusi Suometar		
Hilja Haahti	Uusi Suometar;Helsingin Sanomat		
Wilho Aaltonen	Uusi Suometar;Työmies		
Helmi Karttunen	Työmies		
Olli Pajari	Uusi Suometar	Suom.	Viipurin läänin itäinen
Anna Parviainen	Uusi Suometar;Työmies		
Erkki Kivijärvi	Helsingin Sanomat		
Sofia Vilhelmina Lundénille	Työmies		
Gunnar Landtman	Helsingin Sanomat		
Erland Aarnio	Työmies		
Artur Hlldén	Uusi Suometar		
Aina Sundström	Työmies		
Axel Gallen	Helsingin Sanomat		
Gustaf Niklander	Helsingin Sanomat		
O. Merikanto	Helsingin Sanomat		
Ernst Nordströmille	Helsingin Sanomat		
Hjalmar Söderberg	Helsingin Sanomat		
Volter Kilpi	Uusi Suometar		
Riikka Laitinen	Työmies		
Juho Snellman	Helsingin Sanomat	Nuor.	Kuopion läänin läntinen
Wilhelm Krag	Helsingin Sanomat		
Valde Hirvikanna	Uusi Suometar		
Niklas Järnefelt	Helsingin Sanomat		
Ida Ekman	Uusi Suometar;Helsingin Sanomat		
Werner Söderhjelm	Helsingin Sanomat		
