Source	Target	Weigth
Jussi Snellman	Olga Salo	2
Jussi Snellman	Oskari Salo	2
Otto Keto	Otto Nurminen	2
Otto Keto	Rosa Emilia Laine	2
HEIKKI IMPIVAARA	Victor Ek	2
HEIKKI IMPIVAARA	Martti Wuori	2
HEIKKI IMPIVAARA	O. Talas	2
Alli Nissinen	Lucina Hagman	2
Alli Nissinen	Bertha von	2
Alli Nissinen	Viktor Rydberg	2
Santeri Ingman	Tekla Hultin	2
Otto Weekman	Valde Hirvikanna	2
Antti Jokinen	Juho Myntti	2
Antti Jokinen	Isak Lehtinen	2
Antti Jokinen	Johan Kauppinen	2
Antti Jokinen	Emanuel Nurmi	2
Antti Jokinen	Kaarle Helin	2
Antti Jokinen	Kaarlo Niininen	2
Antti Jokinen	Jaakko Kallio	2
Antti Jokinen	Isak Kalliomäki	2
Antti Jokinen	Otto Sallinen	2
Antti Jokinen	Oskar Antikainen	2
Antti Jokinen	August Voutilainen	2
Antti Jokinen	Kustaa Emil Aaltonen	2
Antti Jokinen	Kalle Kantola	2
Antti Jokinen	Johannes Kaipainen	2
Amanda Mäkinen	Hilma Hintsanen	2
Amanda Mäkinen	Fanny Sofia	2
Oskari Laine	Wilho Sipilä	2
Arvi Jännes	Valter Juva	2
Arvi Jännes	Minna Canth	2
Alfred Casella	Marcel Casadesus	2
Alfred Casella	Marcel Casadesua	2
Isak Kalliomäki	Isak Lehtinen	2
Isak Kalliomäki	Juho Myntti	2
Isak Kalliomäki	Johan Kauppinen	2
Isak Kalliomäki	Kaarle Helin	2
Isak Kalliomäki	Kaarlo Niininen	2
Isak Kalliomäki	Jaakko Kallio	2
Isak Kalliomäki	Otto Sallinen	2
Isak Kalliomäki	Kalle Kantola	2
Isak Kalliomäki	Oskar Antikainen	2
Isak Kalliomäki	Kustaa Emil Aaltonen	2
Isak Kalliomäki	Johannes Kaipainen	2
Hjalmar Nieminen	Viktor Saarinen	2
Hjalmar Nieminen	Isak Lehtinen	2
Hjalmar Nieminen	Kaarle Helin	2
Hjalmar Nieminen	Kaarlo Niininen	2
Hjalmar Nieminen	Jaakko Kallio	2
Hjalmar Nieminen	Otto Sallinen	2
Hjalmar Nieminen	Kalle Kantola	2
Hjalmar Nieminen	Oskar Antikainen	2
Hjalmar Nieminen	Kustaa Emil Aaltonen	2
Martti Nuori	Martti Wuori	2
Aleksandra Gripen	Hilda Käkikoski	2
Kalle Kantola	Wäinö Heikki Hakkarainen	2
Kalle Kantola	Oskar Kingelinin	2
Kalle Kantola	Richard Lindroosin	2
Kalle Kantola	Viktor Saarinen	2
Juho Kustaa Rantanen	Oskar Kingelinin	2
Juho Kustaa Rantanen	Richard Lindroosin	2
Juho Kustaa Rantanen	Vihtori Eloranta	2
Juho Kustaa Rantanen	Kaarle Helin	2
Juho Kustaa Rantanen	Kaarlo Niininen	2
Juho Kustaa Rantanen	Wäinö Heikki Hakkarainen	2
Juho Kustaa Rantanen	Otto Sallinen	2
Juho Kustaa Rantanen	Kalle Kantola	2
Juho Kustaa Rantanen	Oskar Antikainen	2
Juho Kustaa Rantanen	Wilhelm Jaakkola	2
Juho Kustaa Rantanen	Matti Veijalainen	2
Maiju Seppälä	Mikael Soininen	2
Albert Edelfelt	Ilona Jalava	2
Albert Edelfelt	Väinö Blomstedt	2
Johan Kauppinen	Otto Sallinen	2
Johan Kauppinen	Kalle Kantola	2
Johan Kauppinen	Oskar Antikainen	2
Johan Kauppinen	Kustaa Emil Aaltonen	2
Johan Kauppinen	Juho Myntti	2
Johan Kauppinen	Kaarle Helin	2
Johan Kauppinen	Kaarlo Niininen	2
Johan Kauppinen	Johannes Kaipainen	2
Otto Sallinen	Wäinö Heikki Hakkarainen	2
Otto Sallinen	Richard Lindroosin	2
Otto Sallinen	Viktor Saarinen	2
Otto Sallinen	Vihtori Eloranta	2
Selim Palmgren	Wäinö Mäkinen	2
Artur Hlldén	Otto Weckman	2
Artur Hlldén	Paawo Paloheimo	2
Johan Alfred Mäkipää	Juho Myntti	2
Johan Alfred Mäkipää	Oskar Kingelinin	2
Johan Alfred Mäkipää	Richard Lindroosin	2
Johan Alfred Mäkipää	Kaarle Helin	2
Johan Alfred Mäkipää	Vihtori Eloranta	2
Johan Alfred Mäkipää	Kaarlo Niininen	2
Johan Alfred Mäkipää	Kalle Jäntti	2
Johan Alfred Mäkipää	Johan Nurminen	2
Johan Alfred Mäkipää	Wäinö Heikki Hakkarainen	2
Johan Alfred Mäkipää	Johan Arthur Taimi	2
Johan Alfred Mäkipää	Juho Kustaa Rantanen	2
Johan Alfred Mäkipää	Kalle Kantola	2
Johan Alfred Mäkipää	Oskar Antikainen	2
Johan Alfred Mäkipää	Kustaa Emil Aaltonen	2
Fanny Sofia	Hilma Hintsanen	2
August Pesonen	Edla Johanna Katainen	2
A Kj	Otto Hyyry	2
Heikki Klemetti	Kaarlo Bergbomin	2
Fridolf Gustafsson	Juho Laakso	2
Olga Salo	Oskari Salo	3
Kaarlo Bergbomin	Maila Mikkola	3
Juho Nestor Nurmi	Wilho Aaltonen	3
Oskar Merikanto	Signe Kolthoff	3
Otto Kotilainen	Toivo Kuula	3
Kustaa Emil Aaltonen	Otto Sallinen	3
Kustaa Emil Aaltonen	Oskar Antikainen	3
Isak Lehtinen	Kaarle Helin	3
Isak Lehtinen	Kaarlo Niininen	3
Isak Lehtinen	Jaakko Kallio	3
Isak Lehtinen	Otto Sallinen	3
Isak Lehtinen	Kalle Kantola	3
Isak Lehtinen	Oskar Antikainen	3
